17-Jul-08,HOME,265,Hotel Mandarine Regency Tbk,"Trade, Service, and Investment"
10-Jan-13,HOTL,266,Saraswati Griya Lestari Tbk,"Trade, Service, and Investment"
12-Apr-19,HRME,267,PT Menteng Heritage Realty Tbk.,"Trade, Service, and Investment"
21-Jun-17,HRTA,268,PT Hartadinata Abadi Tbk,Consumer Goods industry
6-Oct-10,HRUM,269,Harum Energy Tbk,Mining
13-Sep-06,IATA,270,PT Indonesia Transport & Infrastructure Tbk.,"Infrastructure, Utilities, and Transportation"
22-Dec-14,IBFN,271,PT Intan Baruprana Finance Tbk,Finance
31-Aug-12,IBST,272,Inti Bangun Sejahtera Tbk,"Infrastructure, Utilities, and Transportation"
7-Oct-10,ICBP,273,Indofood CBP Sukses Makmur Tbk,Consumer Goods industry
8-Jul-05,ICON,274,Island Concepts Indonesia Tbk,"Trade, Service, and Investment"
10-Dec-15,IDPR,275,PT Indonesia Pondasi Raya Tbk.,"Property, Real Estate, and Building Construction"
5-Dec-19,IFSH,276,PT Ifishdeco Tbk.,Mining
5-Nov-90,IGAR,277,Champion Pacific Indonesia Tbk,Basic Industry and Chemicals
20-Oct-02,IIKP,278,Inti Agri Resources Tbk,Consumer Goods industry
4-Jun-97,IKAI,279,Intikeramik Alamasri Industri Tbk,"Trade, Service, and Investment"
21-Jan-91,IKBI,280,Sumi Indo Kabel Tbk,Miscellaneous Industry
15-Sep-93,IMAS,281,Indomobil Sukses Internasional Tbk,Miscellaneous Industry
10-Dec-13,IMJS,282,PT Indomobil Multi Jasa Tbk.,Finance
17-Dec-14,IMPC,283,PT Impack Pratama Industri Tbk,Basic Industry and Chemicals
17-Apr-01,INAF,284,Indofarma (Persero) Tbk,Consumer Goods industry
5-Dec-94,INAI,285,Indal Aluminium Industry Tbk,Basic Industry and Chemicals
18-Dec-89,INCF,286,PT Indo Komoditi Korpora Tbk,Basic Industry and Chemicals
24-Jul-90,INCI,287,Intanwijaya Internasional Tbk,Basic Industry and Chemicals
16-May-90,INCO,288,Vale Indonesia Tbk,Mining
14-Jul-94,INDF,289,Indofood Sukses Makmur Tbk,Consumer Goods industry
3-Aug-90,INDR,290,Indorama Synthetics Tbk,Miscellaneous Industry
10-Aug-90,INDS,291,Indospring Tbk,Miscellaneous Industry
17-May-01,INDX,292,Tanah Laut Tbk,"Trade, Service, and Investment"
11-Jun-08,INDY,293,Indika Energy Tbk,Mining
16-Jul-90,INKP,294,Indah Kiat Pulp & Paper Tbk,Basic Industry and Chemicals
10-Jul-19,INOV,295,PT Inocycle Technology Group Tbk.,Basic Industry and Chemicals
29-Aug-90,INPC,296,Bank Artha Graha Internasional Tbk,Finance
1-Dec-04,INPP,297,Indonesian Paradise Property Tbk,"Trade, Service, and Investment"
6-Apr-18,INPS,298,PT Indah Prakasa Sentosa Tbk.,"Trade, Service, and Investment"
18-Jun-90,INRU,299,Toba Pulp Lestari Tbk,Basic Industry and Chemicals
23-Aug-93,INTA,300,Intraco Penta Tbk,"Trade, Service, and Investment"
18-Dec-89,INTD,301,Inter-Delta Tbk,"Trade, Service, and Investment"
5-Dec-89,INTP,302,Indocement Tunggal Prakarsa Tbk,Basic Industry and Chemicals
9-Jul-18,IPCC,303,PT Indonesia Kendaraan Terminal Tbk.,"Infrastructure, Utilities, and Transportation"
22-Dec-17,IPCM,304,PT Jasa Armada Indonesia Tbk.,"Infrastructure, Utilities, and Transportation"
9-Jul-10,IPOL,305,Indopoly Swakarsa Industry Tbk,Basic Industry and Chemicals
8-Jul-19,IPTV,306,PT MNC Vision Networks Tbk.,"Trade, Service, and Investment"
15-Oct-19,IRRA,307,PT Itama Ranoraya Tbk.,"Trade, Service, and Investment"
19-Oct-94,ISAT,308,PT Indosat Tbk,"Infrastructure, Utilities, and Transportation"
22-Feb-13,ISSP,309,PT Steel Pipe Industry of Indonesia Tbk,Basic Industry and Chemicals
4-Jul-19,ITIC,310,PT Indonesian Tobacco Tbk.,Consumer Goods industry
10-Dec-90,ITMA,311,SUMBER ENERGI ANDALAN Tbk,"Trade, Service, and Investment"
18-Dec-07,ITMG,312,Indo Tambangraya Megah Tbk,Mining
26-Nov-01,ITTG,313,Leo Investments Tbk,"Trade, Service, and Investment"
16-May-19,JAST,314,PT Jasnita Telekomindo Tbk.,"Infrastructure, Utilities, and Transportation"
30-May-11,JAWA,315,Jaya Agra Wattie Tbk,Agriculture
21-Feb-19,JAYA,316,PT Armada Berjaya Trans Tbk.,"Infrastructure, Utilities, and Transportation"
18-Nov-92,JECC,317,Jembo Cable Company Tbk,Miscellaneous Industry
29-Jun-16,JGLE,318,PT Graha Andrasentra Propertindo Tbk.,"Trade, Service, and Investment"
29-Feb-84,JIHD,319,Jakarta International Hotels & Development Tbk,"Trade, Service, and Investment"
4-Dec-07,JKON,320,Jaya Konstruksi Manggala Pratama Tbk,"Property, Real Estate, and Building Construction"
6-Aug-97,JKSW,321,Jakarta Kyoei Steel Works Tbk,Basic Industry and Chemicals
18-Dec-17,JMAS,322,PT Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk,Finance
23-Oct-89,JPFA,323,JAPFA Comfeed Indonesia Tbk,Basic Industry and Chemicals
29-Jun-94,JRPT,324,Jaya Real Property Tbk,"Property, Real Estate, and Building Construction"
